position_id,fen,piece_placement,side_to_move,castling_rights,en_passant,halfmove_clock,fullmove_number,ply_number,total_pieces,white_pieces,black_pieces,phase
board_000011,rnb1kb1r/pp2qppp/2p4n/3p3P/1PN1p3/8/P1PPPPP1/1RBQKBNR w Kkq - 4 7,rnb1kb1r/pp2qppp/2p4n/3p3P/1PN1p3/8/P1PPPPP1/1RBQKBNR,white,Kkq,-,4,7,12,32,16,16,dense
board_000012,rn2kbn1/1p2ppp1/p2p3r/2p4p/1PPNq2P/Q1N4b/P2PPPP1/R1B1KB1R b KQq - 6 12,rn2kbn1/1p2ppp1/p2p3r/2p4p/1PPNq2P/Q1N4b/P2PPPP1/R1B1KB1R,black,KQq,-,6,12,23,32,16,16,dense
board_000013,rn1q1bnr/pppbpkpp/3p4/5p2/3NP1Q1/8/PPPP1PPP/RNB1KBR1 b Q - 3 5,rn1q1bnr/pppbpkpp/3p4/5p2/3NP1Q1/8/PPPP1PPP/RNB1KBR1,black,Q,-,3,5,9,32,16,16,dense
board_000014,rnbqkb1r/pp3ppp/5n2/2ppp3/PP6/3P2P1/2P1PP1P/RNBQKBNR w KQkq - 0 5,rnbqkb1r/pp3ppp/5n2/2ppp3/PP6/3P2P1/2P1PP1P/RNBQKBNR,white,KQkq,-,0,5,8,32,16,16,dense
board_000015,rnb1kbnr/pp2p2p/2p2pp1/1q1pN3/1PP4P/N7/P2PPPP1/R1BQKBR1 b Qkq - 0 7,rnb1kbnr/pp2p2p/2p2pp1/1q1pN3/1PP4P/N7/P2PPPP1/R1BQKBR1,black,Qkq,-,0,7,13,32,16,16,dense
board_000016,rnbk1bnr/p2pp1p1/1pp1B3/5p1p/1P3PP1/2N3q1/PBPPP2P/R2Q1KNR b - - 3 12,rnbk1bnr/p2pp1p1/1pp1B3/5p1p/1P3PP1/2N3q1/PBPPP2P/R2Q1KNR,black,-,-,3,12,23,32,16,16,dense
board_000017,rnbqkbnr/1p1ppp1p/p5p1/8/2p5/3P3P/PPP1PPP1/RNBQKBNR w KQkq - 0 5,rnbqkbnr/1p1ppp1p/p5p1/8/2p5/3P3P/PPP1PPP1/RNBQKBNR,white,KQkq,-,0,5,8,32,16,16,dense
board_000018,rnq1kb1r/p1p1pppp/3pb3/1p6/1P4n1/3P2PB/PBP1PP1P/RN1Q1KNR b kq - 9 8,rnq1kb1r/p1p1pppp/3pb3/1p6/1P4n1/3P2PB/PBP1PP1P/RN1Q1KNR,black,kq,-,9,8,15,32,16,16,dense
board_000019,rnb1kb1r/pp2p1p1/2pq3n/P1Pp1p2/4P1Pp/8/1P1P1P1P/RNBQKBNR b KQkq - 1 12,rnb1kb1r/pp2p1p1/2pq3n/P1Pp1p2/4P1Pp/8/1P1P1P1P/RNBQKBNR,black,KQkq,-,1,12,23,32,16,16,dense
board_000020,1rbq1br1/p1pkpppp/np1p4/BN6/P1PP4/Q3n3/1P2PPPP/1R2KBNR b K - 7 10,1rbq1br1/p1pkpppp/np1p4/BN6/P1PP4/Q3n3/1P2PPPP/1R2KBNR,black,K,-,7,10,19,32,16,16,dense
board_000021,r1bqkb1r/ppp1pppp/n4n2/3p4/2P3P1/2N5/PPQPPP1P/R1B1KBNR b KQkq - 1 4,r1bqkb1r/ppp1pppp/n4n2/3p4/2P3P1/2N5/PPQPPP1P/R1B1KBNR,black,KQkq,-,1,4,7,32,16,16,dense
board_000022,r2qkbnr/ppp2pp1/2n1b2p/3pp3/1P5P/B4N2/P1PPPPP1/RN1QKB1R w KQkq - 1 6,r2qkbnr/ppp2pp1/2n1b2p/3pp3/1P5P/B4N2/P1PPPPP1/RN1QKB1R,white,KQkq,-,1,6,10,32,16,16,dense
board_000023,r1bqk2r/p1p1nppp/1pn5/3pp1N1/3P4/b1P3PB/PP2PP1P/RNBQ1K1R b kq - 3 7,r1bqk2r/p1p1nppp/1pn5/3pp1N1/3P4/b1P3PB/PP2PP1P/RNBQ1K1R,black,kq,-,3,7,13,32,16,16,dense
board_000024,rnbqkb1r/1ppp1pp1/p6p/3Np3/1P2Pn2/P4NP1/2PPQP1P/R1B1KB1R w KQq - 3 9,rnbqkb1r/1ppp1pp1/p6p/3Np3/1P2Pn2/P4NP1/2PPQP1P/R1B1KB1R,white,KQq,-,3,9,16,32,16,16,dense
board_000025,rnbqkb1r/1pp1p1pp/8/2n2p2/p2pP1P1/1PQP4/P1PB1P1P/RN2KBNR w KQkq - 0 9,rnbqkb1r/1pp1p1pp/8/2n2p2/p2pP1P1/1PQP4/P1PB1P1P/RN2KBNR,white,KQkq,-,0,9,16,32,16,16,dense
board_000026,r1bqkbnr/pp2p1p1/2pp3p/8/2Pn1pP1/1P1BPN2/P2P1P1P/RNBQ2KR w kq - 0 9,r1bqkbnr/pp2p1p1/2pp3p/8/2Pn1pP1/1P1BPN2/P2P1P1P/RNBQ2KR,white,kq,-,0,9,16,32,16,16,dense
board_000027,r1bq1bnr/p1pkp1pp/1p3p2/3pn3/1P2P3/B1N3P1/P1PP1P1P/R2QKBNR b KQ - 1 8,r1bq1bnr/p1pkp1pp/1p3p2/3pn3/1P2P3/B1N3P1/P1PP1P1P/R2QKBNR,black,KQ,-,1,8,15,32,16,16,dense
board_000028,rnb1kbn1/p1qppppr/1pp5/6Bp/3P1NP1/3Q4/PPP1PPBP/RN2K2R b KQq - 1 7,rnb1kbn1/p1qppppr/1pp5/6Bp/3P1NP1/3Q4/PPP1PPBP/RN2K2R,black,KQq,-,1,7,13,32,16,16,dense
board_000029,r1bqkbnr/pp2p3/2n5/2pp1ppp/3P1P2/2N3PN/PPP1PB1P/R2QKB1R b KQkq - 1 7,r1bqkbnr/pp2p3/2n5/2pp1ppp/3P1P2/2N3PN/PPP1PB1P/R2QKB1R,black,KQkq,-,1,7,13,32,16,16,dense
board_000030,rnbqkbnr/2p1pp1p/pp6/2Pp4/P3P1p1/N7/1P1P1PPP/R1BQKBNR w KQkq - 0 6,rnbqkbnr/2p1pp1p/pp6/2Pp4/P3P1p1/N7/1P1P1PPP/R1BQKBNR,white,KQkq,-,0,6,10,32,16,16,dense
board_000031,1rbqkbnr/pppp2p1/7p/4pp2/1n2P1P1/2PP4/PP1QKPBP/RNB3NR b k - 8 12,1rbqkbnr/pppp2p1/7p/4pp2/1n2P1P1/2PP4/PP1QKPBP/RNB3NR,black,k,-,8,12,23,32,16,16,dense
board_000032,rnbqkbnr/ppp2p1p/3pp3/6p1/2P4P/NP6/P2PPPP1/R1BQKBNR b KQkq - 0 4,rnbqkbnr/ppp2p1p/3pp3/6p1/2P4P/NP6/P2PPPP1/R1BQKBNR,black,KQkq,-,0,4,7,32,16,16,dense
board_000033,rnb1k1nr/p2p4/2pb1p2/qp2P1pp/2P5/P4PP1/1P1BP2P/RNQ1KBNR w KQkq - 0 10,rnb1k1nr/p2p4/2pb1p2/qp2P1pp/2P5/P4PP1/1P1BP2P/RNQ1KBNR,white,KQkq,-,0,10,18,31,16,15,dense
board_000034,rnb1kb1r/2ppqppp/pp3n2/4p3/P1P5/N2P4/1P1KPPPP/R1BQ1BNR w kq - 2 6,rnb1kb1r/2ppqppp/pp3n2/4p3/P1P5/N2P4/1P1KPPPP/R1BQ1BNR,white,kq,-,2,6,10,32,16,16,dense
board_000035,rn1qk1nr/p1p1p1bp/Bp1pP3/5pp1/P5b1/1P5P/2PP1PP1/RNBQK1NR w KQkq - 0 9,rn1qk1nr/p1p1p1bp/Bp1pP3/5pp1/P5b1/1P5P/2PP1PP1/RNBQK1NR,white,KQkq,-,0,9,16,32,16,16,dense
board_000036,r1b1kb1r/pp2pp1p/nqpp2pn/8/4N1PP/5P2/PPPPP3/R1BQKBNR b KQkq - 1 7,r1b1kb1r/pp2pp1p/nqpp2pn/8/4N1PP/5P2/PPPPP3/R1BQKBNR,black,KQkq,-,1,7,13,32,16,16,dense
board_000037,r1bqkbnr/2pppppp/p7/8/Pp1n1N2/R1P4P/1P1PPPP1/1NBQKB1R b Kkq - 0 6,r1bqkbnr/2pppppp/p7/8/Pp1n1N2/R1P4P/1P1PPPP1/1NBQKB1R,black,Kkq,-,0,6,11,32,16,16,dense
board_000038,r1bqkbnr/pppp1p2/n5pp/4p1P1/4P2P/8/PPPP1P1R/RNBQKBN1 b Qkq - 0 5,r1bqkbnr/pppp1p2/n5pp/4p1P1/4P2P/8/PPPP1P1R/RNBQKBN1,black,Qkq,-,0,5,9,32,16,16,dense
board_000039,rnbqkbnr/p1p1p1pp/B4p2/3p4/1p2P3/2P3P1/PP1P1P1P/RNBQK1NR w KQkq - 0 5,rnbqkbnr/p1p1p1pp/B4p2/3p4/1p2P3/2P3P1/PP1P1P1P/RNBQK1NR,white,KQkq,-,0,5,8,32,16,16,dense
board_000040,rn1qkbnr/1ppbp1p1/p2p3p/5p2/P6P/R2PP3/1PP2PP1/1NBQKBNR w Kkq - 1 6,rn1qkbnr/1ppbp1p1/p2p3p/5p2/P6P/R2PP3/1PP2PP1/1NBQKBNR,white,Kkq,-,1,6,10,32,16,16,dense
board_000041,rn1qkbr1/pp2pppp/2pp4/3n1bBB/3PP2P/7N/PPP2PP1/RN1QK2R b KQq - 1 7,rn1qkbr1/pp2pppp/2pp4/3n1bBB/3PP2P/7N/PPP2PP1/RN1QK2R,black,KQq,-,1,7,13,32,16,16,dense
board_000042,rnbqkbnr/p1ppp1p1/1p3p1p/4B3/8/NP3P2/P1PPPKPP/R2Q1BNR w kq - 5 8,rnbqkbnr/p1ppp1p1/1p3p1p/4B3/8/NP3P2/P1PPPKPP/R2Q1BNR,white,kq,-,5,8,14,32,16,16,dense
board_000043,1nb1kbnr/2qp2p1/r1p1p2p/1p3p2/Q1PPB3/p3P2P/PP3PP1/RNB1K1NR w KQk - 2 13,1nb1kbnr/2qp2p1/r1p1p2p/1p3p2/Q1PPB3/p3P2P/PP3PP1/RNB1K1NR,white,KQk,-,2,13,24,32,16,16,dense
board_000044,rn1qk1nr/1bpp1pp1/1p1b4/4p2p/p2N4/4PQ1N/PPPP1PPP/R1B1KBR1 b Qkq - 5 8,rn1qk1nr/1bpp1pp1/1p1b4/4p2p/p2N4/4PQ1N/PPPP1PPP/R1B1KBR1,black,Qkq,-,5,8,15,32,16,16,dense
board_000045,r1b1kb1r/pp1npppp/q1p5/3p3n/P2PN3/3QPP2/1PP1B1P1/R1B1K1NR b KQkq - 3 11,r1b1kb1r/pp1npppp/q1p5/3p3n/P2PN3/3QPP2/1PP1B1P1/R1B1K1NR,black,KQkq,-,3,11,21,31,15,16,dense
board_000046,r1bqkbnr/ppppp1pp/n7/8/1P3p1P/B6R/P1PPPPP1/RN1QKBN1 b Qkq - 1 4,r1bqkbnr/ppppp1pp/n7/8/1P3p1P/B6R/P1PPPPP1/RN1QKBN1,black,Qkq,-,1,4,7,32,16,16,dense
board_000047,r1bqkb2/pppppppr/5n2/4n2p/5P2/1P4PP/P1PPP3/RNBQKBNR b KQq - 2 6,r1bqkb2/pppppppr/5n2/4n2p/5P2/1P4PP/P1PPP3/RNBQKBNR,black,KQq,-,2,6,11,32,16,16,dense
board_000048,r1bqkbn1/p1pnp3/3p2pr/1p2Pp1p/8/P2P2P1/1PPB1P1P/RN1QKBNR w KQq - 0 8,r1bqkbn1/p1pnp3/3p2pr/1p2Pp1p/8/P2P2P1/1PPB1P1P/RN1QKBNR,white,KQq,-,0,8,14,32,16,16,dense
board_000049,rnbqkb1r/3pp1pp/ppp4n/8/2P2p1P/3P1NP1/PP1NPP2/R1BQKB1R b KQkq - 0 8,rnbqkb1r/3pp1pp/ppp4n/8/2P2p1P/3P1NP1/PP1NPP2/R1BQKB1R,black,KQkq,-,0,8,15,32,16,16,dense
board_000050,1nbq1b1r/rp1k1pp1/3p4/p1p2n1p/P2p1B1P/4P2R/1PPQ1PPR/1N2KBN1 w - - 1 13,1nbq1b1r/rp1k1pp1/3p4/p1p2n1p/P2p1B1P/4P2R/1PPQ1PPR/1N2KBN1,white,-,-,1,13,24,31,15,16,dense
board_000051,r1bqkbnr/p1pn2p1/1p5p/3ppp2/2PP3P/6PN/PP2PP2/RNBQKB1R w KQ - 1 11,r1bqkbnr/p1pn2p1/1p5p/3ppp2/2PP3P/6PN/PP2PP2/RNBQKB1R,white,KQ,-,1,11,20,32,16,16,dense
board_000052,rnbqkb1r/ppp1ppp1/3p1n2/7p/P7/R5P1/1PPPPP1P/1NBQKBNR w Kkq - 0 4,rnbqkb1r/ppp1ppp1/3p1n2/7p/P7/R5P1/1PPPPP1P/1NBQKBNR,white,Kkq,-,0,4,6,32,16,16,dense
board_000053,r1b1kbnr/p1p1pppp/2nq4/1p1p4/3P4/P1N4P/1PP1PPP1/R1BQKBNR w KQkq - 1 5,r1b1kbnr/p1p1pppp/2nq4/1p1p4/3P4/P1N4P/1PP1PPP1/R1BQKBNR,white,KQkq,-,1,5,8,32,16,16,dense
board_000054,rnbqk2r/p4ppp/2pppn2/1pb5/3P1Q2/1P3P1N/P1P1P1PP/RNB1KB1R w KQkq - 0 8,rnbqk2r/p4ppp/2pppn2/1pb5/3P1Q2/1P3P1N/P1P1P1PP/RNB1KB1R,white,KQkq,-,0,8,14,32,16,16,dense
board_000055,1rbqkbnr/1ppnp3/p2p1ppp/3P4/P7/8/1PPBPPPP/RNQK1BNR w k - 3 8,1rbqkbnr/1ppnp3/p2p1ppp/3P4/P7/8/1PPBPPPP/RNQK1BNR,white,k,-,3,8,14,32,16,16,dense
board_000056,rnbqkbnr/pppp4/4p2p/4Ppp1/1P3PP1/P6N/2PP3P/RNBQKB1R b KQq - 2 7,rnbqkbnr/pppp4/4p2p/4Ppp1/1P3PP1/P6N/2PP3P/RNBQKB1R,black,KQq,-,2,7,13,32,16,16,dense
board_000057,rnbk1bnr/3p3p/6p1/pp2pp2/P1p1P2N/N4P2/1PPP2Pq/1RBQKB1R w - - 0 12,rnbk1bnr/3p3p/6p1/pp2pp2/P1p1P2N/N4P2/1PPP2Pq/1RBQKB1R,white,-,-,0,12,22,31,15,16,dense
board_000058,rn1qkb1r/3bpp2/p1pp2pn/1p4Pp/1PP5/2NP4/P2KPP1P/R1BQ1BNR b kq - 5 11,rn1qkb1r/3bpp2/p1pp2pn/1p4Pp/1PP5/2NP4/P2KPP1P/R1BQ1BNR,black,kq,-,5,11,21,32,16,16,dense
board_000059,r2qkb1r/p1p1pppp/np3n2/1Q1p1b2/3P4/N7/PPP1PPPP/R1B1KBNR b KQkq - 5 6,r2qkb1r/p1p1pppp/np3n2/1Q1p1b2/3P4/N7/PPP1PPPP/R1B1KBNR,black,KQkq,-,5,6,11,32,16,16,dense
board_000060,rnb2bnr/ppp1kp2/3pp3/6pp/1PPP4/N3qQP1/P3PPBP/R1B1K1NR w KQ - 1 11,rnb2bnr/ppp1kp2/3pp3/6pp/1PPP4/N3qQP1/P3PPBP/R1B1K1NR,white,KQ,-,1,11,20,32,16,16,dense
board_000061,rnb3nr/1pqpkpp1/3b4/p1p1p2p/2P1P1P1/1P1P3N/P3BP1P/RNBQK2R w KQ - 3 8,rnb3nr/1pqpkpp1/3b4/p1p1p2p/2P1P1P1/1P1P3N/P3BP1P/RNBQK2R,white,KQ,-,3,8,14,32,16,16,dense
board_000062,rnbqkb1r/2ppppp1/5n1p/pp6/7P/PP4P1/1BPPPP2/RN1QKBNR w KQkq - 0 6,rnbqkb1r/2ppppp1/5n1p/pp6/7P/PP4P1/1BPPPP2/RN1QKBNR,white,KQkq,-,0,6,10,32,16,16,dense
board_000063,r1b1kbnr/p1pp1pp1/2n5/1p1Pp1qp/2P5/N2Q3N/PP2PPPP/R1B1KB1R b KQkq - 1 6,r1b1kbnr/p1pp1pp1/2n5/1p1Pp1qp/2P5/N2Q3N/PP2PPPP/R1B1KB1R,black,KQkq,-,1,6,11,32,16,16,dense
board_000064,rn1qk1nr/p3pp1p/1p1pb2b/6p1/3p2PN/1QP5/PP2PP1P/RNB1KB1R w kq - 0 9,rn1qk1nr/p3pp1p/1p1pb2b/6p1/3p2PN/1QP5/PP2PP1P/RNB1KB1R,white,kq,-,0,9,16,31,15,16,dense
board_000065,rnb1kb1r/ppp1pp1p/4q3/3p1np1/2P1PP1P/P2Q4/1P1P2P1/RNB1KBNR w KQkq - 1 8,rnb1kb1r/ppp1pp1p/4q3/3p1np1/2P1PP1P/P2Q4/1P1P2P1/RNB1KBNR,white,KQkq,-,1,8,14,32,16,16,dense
board_000066,1nbqkb1r/1p2pppp/3p3n/p1p5/2B1PNP1/Pr3Q1P/1PPP1P2/R1B1K1NR b KQk - 0 10,1nbqkb1r/1p2pppp/3p3n/p1p5/2B1PNP1/Pr3Q1P/1PPP1P2/R1B1K1NR,black,KQk,-,0,10,19,32,16,16,dense
board_000067,rnq1kb1r/pbpp1ppp/4p1Q1/8/Pp1P2n1/4P1PN/1PP2P1P/RNB1KB1R w KQkq - 0 8,rnq1kb1r/pbpp1ppp/4p1Q1/8/Pp1P2n1/4P1PN/1PP2P1P/RNB1KB1R,white,KQkq,-,0,8,14,32,16,16,dense
board_000068,1nbq2nr/r1ppk3/3b2p1/pp2pp1p/PP2P2P/2NP1N2/2P2PP1/R1BQKB1R w KQ - 0 11,1nbq2nr/r1ppk3/3b2p1/pp2pp1p/PP2P2P/2NP1N2/2P2PP1/R1BQKB1R,white,KQ,-,0,11,20,32,16,16,dense
board_000069,r1bq1b1r/pppp1k1p/4p2n/5pp1/2P1P1P1/PP5P/1N1P1P1R/R1Q1KBN1 b Q - 0 12,r1bq1b1r/pppp1k1p/4p2n/5pp1/2P1P1P1/PP5P/1N1P1P1R/R1Q1KBN1,black,Q,-,0,12,23,30,15,15,dense
board_000070,rn2kbnr/ppp1pppp/B7/P2pP3/5qbP/RP3N2/1BPP1PP1/1N1QK2R w Kkq - 5 11,rn2kbnr/ppp1pppp/B7/P2pP3/5qbP/RP3N2/1BPP1PP1/1N1QK2R,white,Kkq,-,5,11,20,32,16,16,dense
board_000071,rnbq1bnr/pppp1kp1/4p3/5p1p/2P3P1/Q6N/PP1PPP1P/RNB1KB1R b KQ - 3 5,rnbq1bnr/pppp1kp1/4p3/5p1p/2P3P1/Q6N/PP1PPP1P/RNB1KB1R,black,KQ,-,3,5,9,32,16,16,dense
board_000072,rnbqkbnr/1p1pp3/p1p2p1p/5Pp1/P2P3P/1PP2N2/4P1PR/RNBQKB2 b Qkq - 0 10,rnbqkbnr/1p1pp3/p1p2p1p/5Pp1/P2P3P/1PP2N2/4P1PR/RNBQKB2,black,Qkq,-,0,10,19,32,16,16,dense
board_000073,1nbq1bnr/2pp1kpp/rp6/p3p3/PPP2p1P/3Q1PP1/R2PP1B1/1NB1K1NR b K - 1 10,1nbq1bnr/2pp1kpp/rp6/p3p3/PPP2p1P/3Q1PP1/R2PP1B1/1NB1K1NR,black,K,-,1,10,19,32,16,16,dense
board_000074,rnb1kbnr/p1ppqppp/1p2p3/8/3N4/7P/PPPPPPP1/RNBQKB1R w KQkq - 2 4,rnb1kbnr/p1ppqppp/1p2p3/8/3N4/7P/PPPPPPP1/RNBQKB1R,white,KQkq,-,2,4,6,32,16,16,dense
board_000075,r1bqkb1r/2pppp1p/ppn3p1/5n2/2B1P3/2N2PPP/PPPP1K2/RNBQ3R w kq - 3 9,r1bqkb1r/2pppp1p/ppn3p1/5n2/2B1P3/2N2PPP/PPPP1K2/RNBQ3R,white,kq,-,3,9,16,32,16,16,dense
board_000076,r1bq4/ppp1kprp/2n1p2b/3p2N1/1nP3p1/1P1PBP2/P1Q1P1PP/RN2KBR1 w Q - 0 13,r1bq4/ppp1kprp/2n1p2b/3p2N1/1nP3p1/1P1PBP2/P1Q1P1PP/RN2KBR1,white,Q,-,0,13,24,32,16,16,dense
board_000077,rnbqkb1r/1pppn3/p3p2p/5pp1/3P2P1/PPP4B/R2BPP1P/1N1QK1NR w Kkq - 0 9,rnbqkb1r/1pppn3/p3p2p/5pp1/3P2P1/PPP4B/R2BPP1P/1N1QK1NR,white,Kkq,-,0,9,16,32,16,16,dense
board_000078,rnbq2nr/1p1p1k1p/p1p2bp1/2P1pp2/3QP3/1P6/P2P1PPP/RNB1KBNR w KQ - 0 10,rnbq2nr/1p1p1k1p/p1p2bp1/2P1pp2/3QP3/1P6/P2P1PPP/RNB1KBNR,white,KQ,-,0,10,18,32,16,16,dense
board_000079,r1bqkbnr/pppp1ppp/8/8/3npP2/N1P1P3/PP1P2PP/R1BQKBNR w KQkq - 1 5,r1bqkbnr/pppp1ppp/8/8/3npP2/N1P1P3/PP1P2PP/R1BQKBNR,white,KQkq,-,1,5,8,32,16,16,dense
board_000080,r1bqkbn1/ppppp1p1/n3r3/5p1p/1QP3PP/8/PP1PPP2/RNBKNB1R w q - 0 9,r1bqkbn1/ppppp1p1/n3r3/5p1p/1QP3PP/8/PP1PPP2/RNBKNB1R,white,q,-,0,9,16,32,16,16,dense
board_000081,rnbq1kn1/2P1p1b1/p2p1p1r/1p4pp/P1P5/R2PPN2/3Q1PPP/1NB1KB1R w K - 0 12,rnbq1kn1/2P1p1b1/p2p1p1r/1p4pp/P1P5/R2PPN2/3Q1PPP/1NB1KB1R,white,K,-,0,12,22,31,16,15,dense
board_000082,r1bqkb1r/pp1pnp2/2n3p1/2p1p3/3Q3p/N1PBPPP1/PP1P3P/R1B1K1NR b KQkq - 2 9,r1bqkb1r/pp1pnp2/2n3p1/2p1p3/3Q3p/N1PBPPP1/PP1P3P/R1B1K1NR,black,KQkq,-,2,9,17,32,16,16,dense
board_000083,rn1qkbnr/p1ppp3/bp3p2/6pp/1P1B4/P4P2/2PPP1PP/RN1QKBNR w KQkq - 1 6,rn1qkbnr/p1ppp3/bp3p2/6pp/1P1B4/P4P2/2PPP1PP/RN1QKBNR,white,KQkq,-,1,6,10,32,16,16,dense
board_000084,rn2kbnr/2p1pppp/pp1q4/3p1b2/5PP1/4PQ1B/PPPP3P/RNB1K1NR w KQkq - 4 6,rn2kbnr/2p1pppp/pp1q4/3p1b2/5PP1/4PQ1B/PPPP3P/RNB1K1NR,white,KQkq,-,4,6,10,32,16,16,dense
board_000085,rnbq1bnr/1p1pkp1p/2p5/p3p1p1/4P2P/5P2/PPPP2P1/RNBQKBNR w KQ - 0 7,rnbq1bnr/1p1pkp1p/2p5/p3p1p1/4P2P/5P2/PPPP2P1/RNBQKBNR,white,KQ,-,0,7,12,32,16,16,dense
board_000086,r1bqkbn1/ppp1p1p1/2n2p1r/3p3p/7P/PPN5/R1PPPPP1/2BQKBNR w Kq - 0 6,r1bqkbn1/ppp1p1p1/2n2p1r/3p3p/7P/PPN5/R1PPPPP1/2BQKBNR,white,Kq,-,0,6,10,32,16,16,dense
board_000087,1rq1kbnr/p3p1pp/n3b3/1pp2p2/1BBpP2P/1PP5/P1QP1PPR/RN1K2N1 w k - 0 11,1rq1kbnr/p3p1pp/n3b3/1pp2p2/1BBpP2P/1PP5/P1QP1PPR/RN1K2N1,white,k,-,0,11,20,32,16,16,dense
board_000088,rnb1kbnr/ppqpp1pp/8/2p2p2/4P2P/2PB4/PP1P1PP1/RNBQK1NR b KQkq - 1 4,rnb1kbnr/ppqpp1pp/8/2p2p2/4P2P/2PB4/PP1P1PP1/RNBQK1NR,black,KQkq,-,1,4,7,32,16,16,dense
board_000089,r2qkbnr/pbppp1pp/4Bp2/1p2n3/1P6/2N3P1/P1PPPP1P/R1BQ1KNR b kq - 6 6,r2qkbnr/pbppp1pp/4Bp2/1p2n3/1P6/2N3P1/P1PPPP1P/R1BQ1KNR,black,kq,-,6,6,11,32,16,16,dense
board_000090,r2qkb1r/pppbppp1/2n5/8/6np/P3P2P/1PPPKPP1/RNBQ2NR b kq - 0 7,r2qkb1r/pppbppp1/2n5/8/6np/P3P2P/1PPPKPP1/RNBQ2NR,black,kq,-,0,7,13,30,15,15,dense
board_000091,1rbqk2r/1ppnppbp/p2p1Qp1/8/2P3NP/3P4/PPnBKPP1/RN3B1R b k - 3 11,1rbqk2r/1ppnppbp/p2p1Qp1/8/2P3NP/3P4/PPnBKPP1/RN3B1R,black,k,-,3,11,21,31,15,16,dense
board_000092,rnbqkb1r/2p1pp1p/pp1p2pn/8/P5P1/2N4P/1PPPPP2/R1BQKBNR w KQkq - 0 6,rnbqkb1r/2p1pp1p/pp1p2pn/8/P5P1/2N4P/1PPPPP2/R1BQKBNR,white,KQkq,-,0,6,10,32,16,16,dense
board_000093,r1bk1bnr/ppp1npp1/3p4/1q2p3/P3PP1p/1P5P/RBPP1NP1/1N1QKB1R w K - 3 12,r1bk1bnr/ppp1npp1/3p4/1q2p3/P3PP1p/1P5P/RBPP1NP1/1N1QKB1R,white,K,-,3,12,22,32,16,16,dense
